,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,TimelyResponse,TimelyFixes,TimelyReplacements,Reliability,Options,RespectfulResponse,CourteousExchange,ActiveListening,Contract,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,Area_Rural,Area_Suburban,Area_Urban,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check,Churn
8192,2.242204069485416,-0.5065919164222484,0.09284057603269602,-1.0859807978033014,-0.759971996894273,0.3252089645289763,-1.0058516991026796,0.9466579047036832,1.3189121187408959,-0.17822886453512635,1.4026022372474716,-0.47294840851206826,-0.48821328709573447,-1.446602777027496,-0.48500389479862627,-0.48098688487745467,-0.48116458471979834,0.47693122604458105,-0.4818284474094517,2,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
6955,-0.5132049746803286,-0.04084592357288879,1.349009902037119,0.2744405340112754,1.2947814742663373,-1.657772526501367,1.0175876473118841,-0.6258635316811727,0.35241711607670617,-0.46887918552850955,0.2448237609414292,0.49067915569344955,0.4783542977305066,-1.446602777027496,0.4898783058016274,-1.45681744863776,1.453943336936338,0.47693122604458105,0.4903839162092966,2,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
6208,-0.5842278150532574,0.4249000692764709,1.397324106883443,0.9590615398508434,0.07093112771731658,0.6557058797007002,0.005867974104602262,-0.6258635316811727,1.347907940768945,-0.2952244215217505,1.3660872988599895,-0.47294840851206826,-1.4547808719219755,-0.4737697057245398,-0.48500389479862627,1.4706742426431563,-0.48116458471979834,-0.4954056262379492,-0.4818284474094517,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
9447,-0.6714646502040061,-0.5065919164222484,-0.6318724966621634,1.240282105628813,1.076720901594416,-0.6662817809861953,1.0175876473118841,-0.6258635316811727,1.386121764180999,-1.0512766826943347,1.2176395463062604,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,0.48638937610826977,-0.4954056262379492,-0.4818284474094517,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
789,-0.28156657920062017,-0.9723379092716081,-0.2936730627378957,-1.1643909783787592,-0.0842259616427428,-0.0052879506427475865,0.005867974104602262,-0.6258635316811727,-0.861362255181541,-0.1783876640142341,-0.7676420722712225,-0.47294840851206826,0.4783542977305066,0.4990633655784165,0.4898783058016274,0.4948436788828508,0.48638937610826977,-0.4954056262379492,-2.4262531746469485,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
58,1.138128031922247,-0.5065919164222484,0.2377831905716679,-0.8950199762639738,0.07335295362755087,0.986202794872424,1.0175876473118841,-0.6258635316811727,-0.7112042140138669,1.1067043748174135,-0.6971845015002373,-0.47294840851206826,1.4449218825567476,-0.4737697057245398,-1.45988609539888,0.4948436788828508,1.453943336936338,1.4492680783271112,0.4903839162092966,2,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1
1848,-0.6373736868250003,-0.9723379092716081,1.204067287498147,-0.9979112404678685,0.7790615126158673,-1.3272756113296431,1.0175876473118841,0.9466579047036832,-1.254304201395645,0.7530936583220611,-1.3194096915064133,0.49067915569344955,-0.48821328709573447,-0.4737697057245398,-0.48500389479862627,-0.48098688487745467,0.48638937610826977,0.47693122604458105,1.462596279828045,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1
5889,-0.676037828218263,0.4249000692764709,0.7692394438812314,0.15022119002551626,1.6483822244442983,1.316699710044148,-1.0058516991026796,-0.6258635316811727,1.1176787690886623,0.2874222550584258,1.0356622480222688,-1.436575972717586,-2.4213484567482166,-1.446602777027496,0.4898783058016274,-0.48098688487745467,-0.48116458471979834,-0.4954056262379492,-1.4540408110282002,2,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
1888,2.5351646247017507,-0.5065919164222484,1.5905809262687387,0.32499072862445944,1.570461112256729,-1.9882694416730908,1.0175876473118841,-0.6258635316811727,-1.0708328264519467,0.22958158829733197,-1.211473654254729,0.49067915569344955,0.4783542977305066,0.4990633655784165,0.4898783058016274,-0.48098688487745467,0.48638937610826977,0.47693122604458105,1.462596279828045,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
413,-0.6490837941645369,-0.04084592357288879,-1.5498423887423185,2.5753942957807894,-0.6819351340335822,-1.9882694416730908,-1.0058516991026796,-0.6258635316811727,-0.8776029319601399,0.5200933701938956,-0.8367677964384078,-0.47294840851206826,-0.48821328709573447,-0.4737697057245398,-2.4347682959991337,0.4948436788828508,-0.48116458471979834,-0.4954056262379492,-1.4540408110282002,2,1,1,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
